ISD91230, n:83,time:17987, packet type:1, length:23, seq:7, unkbit:1, unk:1, crc:3134, calccrc:3134, valid:1, Raw:0x5AA5170107FF81CF0F02001700D5640000A33D00003431
ISD91230, n:84,time:17987, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:BDD5, calccrc:BDD5, valid:1, Raw:0x5AA5170300FFA00000000001000000000000000000D5BD
ISD91230, n:85,time:18268, packet type:1, length:13, seq:8, unkbit:1, unk:32, crc:0B63, calccrc:0B63, valid:1, Raw:0x5AA50D0108FFA0B700B700630B
ISD91230, n:86,time:18268, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:87,time:18269, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:88,time:18269, packet type:1, length:23, seq:8, unkbit:1, unk:1, crc:1A00, calccrc:1A00, valid:1, Raw:0x5AA5170108FF81CF0F02001500D5640000A33D0000001A
ISD91230, n:89,time:18271, packet type:3, length:23, seq:0, unkbit:1, unk:33, crc:6096, calccrc:6096, valid:1, Raw:0x5AA5170300FFA100000000070000000000000000009660
ISD91230, n:90,time:18293, packet type:1, length:13, seq:9, unkbit:1, unk:32, crc:ABD6, calccrc:ABD6, valid:1, Raw:0x5AA50D0109FFA0A700A700D6AB
ISD91230, n:91,time:18293, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:92,time:18294, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:93,time:18294, packet type:1, length:23, seq:9, unkbit:1, unk:1, crc:0AE2, calccrc:0AE2, valid:1, Raw:0x5AA5170109FF81CF0F02001500D5640000A33D0000E20A
ISD91230, n:94,time:18295, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:635F, calccrc:635F, valid:1, Raw:0x5AA5170300FFA000000000030000000000000000005F63
ISD91230, n:95,time:18295, packet type:1, length:13, seq:10, unkbit:1, unk:32, crc:B5F4, calccrc:B5F4, valid:1, Raw:0x5AA50D010AFFA027002700F4B5
ISD91230, n:96,time:18296, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:97,time:18296, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:98,time:18297, packet type:1, length:23, seq:10, unkbit:1, unk:1, crc:3BC4, calccrc:3BC4, valid:1, Raw:0x5AA517010AFF81CF0F02001500D5640000A33D0000C43B
ISD91230, n:99,time:18298, packet type:3, length:23, seq:0, unkbit:1, unk:33, crc:5962, calccrc:5962, valid:1, Raw:0x5AA5170300FFA100000000090000000000000000006259
ISD91230, n:100,time:18340, packet type:1, length:13, seq:11, unkbit:1, unk:32, crc:1541, calccrc:1541, valid:1, Raw:0x5AA50D010BFFA0370037004115
ISD91230, n:101,time:18341, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:102,time:18341, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:103,time:18341, packet type:1, length:23, seq:11, unkbit:1, unk:1, crc:2B26, calccrc:2B26, valid:1, Raw:0x5AA517010BFF81CF0F02001500D5640000A33D0000262B
ISD91230, n:104,time:18342, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:7FA5, calccrc:7FA5, valid:1, Raw:0x5AA5170300FFA00000000004000000000000000000A57F
ISD91230, n:105,time:18343, packet type:1, length:13, seq:12, unkbit:1, unk:32, crc:14D1, calccrc:14D1, valid:1, Raw:0x5AA50D010CFFA027002700D114
ISD91230, n:106,time:18343, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:107,time:18343, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:108,time:18344, packet type:1, length:23, seq:12, unkbit:1, unk:1, crc:5988, calccrc:5988, valid:1, Raw:0x5AA517010CFF81CF0F02001500D5640000A33D00008859
ISD91230, n:109,time:18346, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:635F, calccrc:635F, valid:1, Raw:0x5AA5170300FFA000000000030000000000000000005F63
ISD91230, n:110,time:18468, packet type:1, length:13, seq:13, unkbit:1, unk:32, crc:9D18, calccrc:9D18, valid:1, Raw:0x5AA50D010DFFA007000700189D
ISD91230, n:111,time:18469, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:112,time:18469, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:113,time:18469, packet type:1, length:23, seq:13, unkbit:1, unk:1, crc:245A, calccrc:245A, valid:1, Raw:0x5AA517010DFF81CF0F0200130096510000A33D00005A24
ISD91230, n:114,time:18471, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:10E0, calccrc:10E0, valid:1, Raw:0x5AA5170300FFA00000000005000000000000000000E010
ISD91230, n:115,time:18533, packet type:7, length:50, seq:0, unkbit:1, unk:0, crc:7778, calccrc:7778, valid:1, Raw:0x5AA5320700FF800A000000000000000000000000611A80005A1D8000DE1E8000702080000522800027238000E22380007877
ISD91230, n:116,time:19416, packet type:7, length:50, seq:1, unkbit:1, unk:0, crc:4DF2, calccrc:4DF2, valid:1, Raw:0x5AA5320701FF800A8D248000FE2480001C258000E1248000FF248000242580001C2580000D258000FB248000E2248000F24D
ISD91230, n:117,time:19477, packet type:1, length:13, seq:14, unkbit:1, unk:0, crc:4D2E, calccrc:4D2E, valid:1, Raw:0x5AA50D010EFF80070007002E4D
ISD91230, n:118,time:19477, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:119,time:19478, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:120,time:19478, packet type:1, length:23, seq:14, unkbit:1, unk:1, crc:DB38, calccrc:DB38, valid:1, Raw:0x5AA517010EFF81CF0F020013008C510000573C000038DB
ESP32, n:1,time:20199, packet type:9, length:9, seq:1, unkbit:1, unk:0, crc:B472, calccrc:B472, valid:1, Raw:0x5AA5090901FF8072B4
ISD91230, n:121,time:20220, packet type:9, length:12, seq:1, unkbit:1, unk:0, crc:E653, calccrc:E653, valid:1, Raw:0x5AA50C0901FF80000B7453E6
ISD91230, n:122,time:20300, packet type:7, length:50, seq:2, unkbit:1, unk:0, crc:F65A, calccrc:F65A, valid:1, Raw:0x5AA5320702FF800AE42480003A25800019258000C7248000BE2480003025800006258000D0248000A8248000FF2480005AF6
ISD91230, n:123,time:20481, packet type:1, length:13, seq:15, unkbit:1, unk:0, crc:F54F, calccrc:F54F, valid:1, Raw:0x5AA50D010FFF80070007004FF5
ISD91230, n:124,time:20482, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:125,time:20482, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:126,time:20482, packet type:1, length:23, seq:15, unkbit:1, unk:1, crc:F370, calccrc:F370, valid:1, Raw:0x5AA517010FFF8176090200170091510000553C000070F3
ISD91230, n:127,time:21183, packet type:7, length:50, seq:3, unkbit:1, unk:0, crc:1D0F, calccrc:1D0F, valid:1, Raw:0x5AA5320703FF800A4B258000082580008B248000E52380004F238000A52380000D24800081238000EF208000AC2080000F1D
ISD91230, n:128,time:21484, packet type:1, length:13, seq:16, unkbit:1, unk:0, crc:48DD, calccrc:48DD, valid:1, Raw:0x5AA50D0110FF8007000700DD48
ISD91230, n:129,time:21485, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:130,time:21485, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:131,time:21485, packet type:1, length:23, seq:16, unkbit:1, unk:1, crc:A41C, calccrc:A41C, valid:1, Raw:0x5AA5170110FF81760902001700A6510000AB3C00001CA4
ESP32, n:2,time:21766, packet type:9, length:9, seq:2, unkbit:1, unk:0, crc:ED22, calccrc:ED22, valid:1, Raw:0x5AA5090902FF8022ED
ESP32, n:3,time:21787, packet type:2, length:19, seq:1, unkbit:0, unk:0, crc:9FF0, calccrc:9FF0, valid:1, Raw:0x5AA5130201FF0002000000000200640000F09F
ISD91230, n:132,time:21787, packet type:9, length:12, seq:2, unkbit:1, unk:0, crc:28B3, calccrc:28B3, valid:1, Raw:0x5AA50C0902FF80000B74B328
